1KUNS-PF;43466;;437.300 ;;1k2/2k4/4k8/9k6* GMSK;;re-entered
3B5GSAT;47961;;437.130 ;;;;unknown
3CAT-1;43781;;437.250 ;437.250 ;9600bps BPSK CW;;inactive
3CAT-2;41732;;145.970/2401.000;;9600bps BPSK/100kbps GMSK;;inactive
4M-LXS;;;145.980 ;;WSJT-JT65B;LX0OHB;deep space
Aalto-1;42775;;437.220/2402.000;437.220 ;9600bps GFSK CW;OH2A1S;active
Aalto-2;42729;;437.335 ;437.335 ;9600bps GFSK CW;AALTO2;re-entered
Aalto-3;;;437.325 ;;;;launch details not confirmed
AAUSAT-1;27846;;437.450 ;;9600bps GMSK;;inactive
AAUSAT-2;32788;;437.426 ;;1k2*MSK 9k6 FSK;OZ2CUB;active
AAUSAT-3;39087;;437.425 ;437.425 ;4800bps FSK CW;OZ3CUB;inactive
AAUSAT-4;41460;;437.425 ;437.425 ;2k4*/9k6/19k2 GFSK CW;OZ4CUB;active
AAUSAT-5;40948;;437.425 ;437.425 ;9600bps GMSK CW;OZ5CUB;re-entered
ACRUX-1;44369;;437.200 ;;9600bps GMSK;CQ;re-entered
AENEAS;38760;;437.600 ;;1200bps AFSK;KE6YFA-1;inactive
AeroCube-1;;;902/928;;9600bps GFSK;;failure
AeroCube-2;31133;;902-928;;9600bps GFSK;;inactive
AESP14;40389;;437.600 ;;9600bps GFSK;;inactive
AggieSat-4;41313;;436.250 ;;9k6/153k6 FSK;;re-entered
AISat;40054;;437.250 ;437.511 ;CW;DP0AIS;inactive
AISAT-1;44104;145.825 ;145.825/2259.000;;1200bps AFSK;AISAT-1;inactive
AISTECHSAT-2;43768;;436.730 ;;4k8*/9k6 FSK;;active
AISTECHSAT-3;44103;;436.730 ;;4k8/9k6* FSK;;active
AIST-1;39492;;;435.265 ;CW;;inactive
AIST-2;39133;;435.215 ;435.265 ;FM CW;;inactive
AIST-2D;41465;145.831-145.849;435.3065-435.3235;435.315 ;4800bps PSK CW;;inactive
ALEXANDER;39144;;2401.200-2431.200;437.425 ;1200bps AFSK;KJ6KRW;re-entered
AlfaCrux;52160;437.225 ;437.100*/437.225;;4800bps FSK Digipeater;;active
ALICE;39467;;460.xxx;;GFSK;;non-amateur
All-Star/THEIA;39683;;2401.700 ;;256Kbps BPSK;COSGC1AS;unknown
ALPHA;53110;;436.500 ;;9600bps FSK;;inactive
ALMASat-1;38078;;437.465/2407.850;;1200bps FSK;ALMASAT;re-entered
ALSat-1N;41789;;437.646 ;;9600bps FSK;AL1N;inactive
Al-Farabi-2;43805;;436.500 ;436.500 ;4800bps GMSK CW;UN1GWA;inactive
AmicalSat;46287;;436.100*/2415.300;;1k2*AFSK 9k6 GMSK;RS17S;active
AmurSat;44394;;436.250 ;;4800bps mobitex;;active
ANDE;29664;145.825 ;145.825 ;;1200bps AFSK;ANDE-1;re-entered
ANDE-2;35694;;145.825 ;;1200bps AFSK;KD4HBO-1;re-entered
ANDE-2;35693;;145.825 ;;1200bps AFSK;POLLUX-1;re-entered
ANTELSat;40034;;437.575/2403.000;437.280 ;1k2 AFSK GFSK/MSK CW;CX1SAT;inactive
ANUSAT;34808;;;137.400 ; 1200bps AFSK Carrier;;re-entered
Aoba-VELOX-III;41935;;437.375 ;437.375 ;1200bps AFSK CW;JG6YBW;re-entered
Aoba-VELOX-IV;43940;;437.225 ;;9600bps GMSK;;inactive
