Satellite,Status,NORAD,Uplink,Downlink,Beacon,Mode,Callsign,Reports,Info,Telemetry Decoder
HA-1,tbd,tbd,145.930 FM,436.950 FM,437.505,437.350 9k6 BPSK,.,latest report,details,.
OSIRIS-3U,ACTIVE,43027,.,.,437.505,38k4 GMSK,.,latest report,details,.
EcAMSat,ACTIVE,43019,.,.,437.095,"1k2 AFSK, FM",KE6QLL,latest report,details,
EagleSat,INACTIVE,43018,.,.,437.645,"1k2 AFSK, FM",.,latest report,details,.
"RadFxSat (AO-91, FOX-1B)",ACTIVE,43017,435.250,.,145.960,"Voice + 0k2 FSK data, FM",.,latest report,details,.
TechnoSat,ACTIVE,42829,435.950,435.950,.,"FM CW 
4k8 GMSK",DP0TBA,latest report,details,
BIRD-B (BRAC Onnesha),ACTIVE,42823,,,"437.372
437.375","CW 
1k2 AFSK/9k6 FSK/digital Voice",JG6YJS,latest report,details,
"BIRD-G (GhanaSat-1, ANUSAT-1)",INACTIVE,42821,,,"437.372
437.375","CW 
1k2 AFSK/9k6 FSK/digital Voice",JG6YJP,latest report,details,
BIRD-J (Toki),ACTIVE,42820,,,"437.372
437.375","CW 
1k2 AFSK/9k6 FSK/digital Voice",JG6YJO,latest report,details,
"BIRD-M (Mazaalai, NUMSAT-1)",ACTIVE,42822,,,"437.372
437.375","CW 
1k2 AFSK/9k6 FSK/digital Voice",JG6YJQ,latest report,details,
BIRD-N (EduSat-1),ACTIVE,42824,,,"437.372
437.375","CW 
1k2 AFSK/9k6 FSK/digital Voice",JG6YJR,latest report,details,
SUCHAI,ACTIVE,42788,,,437.225,CW,SUCHAI,latest report,details,
ROBUSTA-1B,ACTIVE,42792,,,437.325,CW / 1k2 AFSK,.,latest report,details,
VENTA-1,INACTIVE,42791,,,437.325,9k6 FSK,.,latest report,details,
SKCube,ACTIVE,42789,437.100,437.100,437.100,CW / 9k6 FSK,OM9SAT,latest report,details,
D-SAT,ACTIVE,42794,,,437.505,4k8 GMSK,.,latest report,details,
Max Valier Sat,ACTIVE,42778,,,145.960,CW,II3MV,latest report,details,
NIUSAT,ACTIVE,42766,,,436.000,1k2 FSK,NIUGSR,latest report,details,
CAS-4A,ACTIVE,42761,435.220,145.870,"145.855
 145.835","CW
 4k8 FSK AX.25",BJ1SK,latest report,details,
CAS-4B,ACTIVE,42759,435.280,145.925,"145.910
 145.890","CW
 4k8 FSK AX.25",BJ1SL,latest report,details,
PEGASUS,ACTIVE,42784,,,436.670,9k6 FSK TT-64,ON03AT,latest report,details,in progress
NUDTSat,ACTIVE,42787,,,436.270,9k6 BPSK,ON06CN,latest report,details,
VZLUSAT-1,ACTIVE,42790,,,437.240,CW/4k8 MSK,ON02CZ,latest report,details,
"DRAGSAIL
 (COMPASS-2)",INACTIVE,42777,,,437.300,1k2 AFSK,ON04DL,latest report,details,
UCLSat,ACTIVE,42765,,,435.975,9k6 GMSK,ON03GB,latest report,details,
AALTO-1,ACTIVE,42775,,,437.220,CW/9k6 FSK TT-64,OH2A1S,latest report,details,
URSA MAIOR,ACTIVE,42776,,,435.950,9k6 FSK,ON02IT,latest report,details,in progress
LITUANICASat-2,ACTIVE,42768,,,437.265,9k6 FSK,ON01LT,latest report,details,
LINK,ACTIVE,42714,,,436.030,1k2 BPSK,ON01KR,latest report,details,
ATLANTIS,ACTIVE,42737,,,436.390,9k6 FSK,ON02US,latest report,details,
AALTO-2,INACTIVE,42729,,,437.335,CW/9k6 FSK,ON01FI,latest report,details,
EX-ALTA1,ACTIVE,42734,,,436.705,"4k8 BPSK, USB",ON03CA,latest report,details,
AOXINAG-1,INACTIVE,42735,,,436.150,"9k6 BPSK, USB",ON04CN,latest report,details,
BeEAGLESAT,ACTIVE,42736,,,437.370,CW / 9k6 FSK,ON01TR,latest report,details,
DUTHSAT,INACTIVE,42724,,,436.420,1k2 BPSK,ON01GR,latest report,details,
LILACSAT-1,ACTIVE,42725,145.985,,436.510,9k6 PBSK,ON02CN,latest report,details,
NSIGHT-1,ACTIVE,42726,,,435.900,9k6 FSK,ON02AZ,latest report,details,
NJUST-1,ACTIVE,42722,,,436.570,1k2/9k6 BPSK,ON03CN,latest report,details,
Challenger,ACTIVE,42721,,,437.510,9k6 FSK,WI2XTN,latest report,details,
HAVELSAT,ACTIVE,42700,,,436.845,CW,ON02TR,latest report,details,
Columbia,ACTIVE,42702,,,437.055,9k6 FSK,KD8CJT,latest report,details,
PHOENIX,ACTIVE,42706,,,436.915,9k6 FSK,ON01TW,latest report,details,
X-CUBESAT,ACTIVE,42707,,,437.020,1k2 AFSK,ON01FR,latest report,details,
QBEE,INACTIVE,42708,,,435.800,9k6 FSK,ON01SE,latest report,details,
CSUNSat1,ACTIVE,42715,,,437.400,"CW, FM",CSUNSAT,latest report,details,
UPSat,INACTIVE,42716,,,435.765,9k6 FSK,ON02GR,latest report,details,
SpaceCube,ACTIVE,42717,,,436.880,1k2 AFSK,ON05FR,latest report,details,
Hoopoe,ACTIVE,42718,,,437.740,"9k6 BPSK, USB",ON01IL,latest report,details,
UNSW-EC0,ACTIVE,42723,,,436.525,4k8 GMSK,ON02AU,latest report,details,
INSPIRE-2,ACTIVE,42731,,,436.330,4k8 GMSK,ON03AU,latest report,details,
ZA-AEROSAT,ACTIVE,42713,,,437.200,9k6 FSK,ON01AZ,latest report,details,
"EO-88
 (Nayif-1)",ACTIVE,42017,435.045 – 435.015,145.960 – 145.990,145.940,"LSB/USB
 1k2 BPSK",.,latest report,details,
