id	type	name	fullname	icq_name	component	current_mag	perihelion_date	perihelion_mag	peak_mag	peak_mag_date	is_observed	is_active
484	P	12P	12P/Pons-Brooks	0012		5.5	2024-04-21 02:58	4.5	4.5	2024-04-21	True	True
485	P	13P	13P/Olbers	0013		8.3	2024-06-30 01:10	6.9	6.9	2024-07-02	True	True
2410	C	C/2023 A3	C/2023 A3 (Tsuchinshan-ATLAS)	2023A3		10.2	2024-09-27 17:45	0.6	0.2	2024-10-05	True	True
535	P	154P	154P/Brewington	0154		10.3	2024-06-11 10:47	10.0	10.0	2024-06-15	True	True
2279	C	C/2021 S3	C/2021 S3 (PANSTARRS)	2021S3		11.5	2024-02-14 17:01	9.9	9.8	2024-03-01	True	True
2478	C	C/2023 V4	C/2023 V4 (Camarasa-Duszanowicz)	2023V4		12.7	2024-05-30 08:44	12.5	12.5	2024-06-06	True	True
1093	N	P/2014 U2	P/2014 U2 (Kowalski)	P2014U2		12.8	2019-10-11 10:27	6.8	6.8	2019-10-01	True	True
332	P	46P	46P/Wirtanen	0046		12.9	2024-05-19 02:24	12.9	12.9	2024-05-19	True	True
57	P	29P	29P/Schwassmann-Wachmann	0029		13.1	2019-05-03 09:01	12.8	12.1	2019-10-08	True	True
2503	P	479P	479P/Elenin	0479		13.5	2024-05-05 05:51	13.5	13.5	2024-05-05	True	True
392	P	144P	144P/Kushida	0144		13.5	2024-01-25 18:32	9.8	9.7	2024-01-11	True	True
2322	C	C/2022 E2	C/2022 E2 (ATLAS)	2022E2		13.7	2024-09-14 02:32	13.3	12.8	2024-11-27	True	True
2284	C	C/2021 G2	C/2021 G2 (Atlas)	2021G2		13.8	2024-09-09 06:38	14.4	13.9	2024-05-18	True	True
1	N	P/2010 H2	P/2010 H2 (Vales)	P2010H2		14.0	2025-03-09 16:30	12.6	12.5	2025-04-09	True	True
1729	N	P/2011 WG113	P/2011 WG113	P2011WGB3		14.1	2023-10-09 09:15	11.9	11.9	2023-10-12	True	True
1670	C	C/2017 K2	C/2017 K2 (PANSTARRS)	2017K2		14.6	2022-12-19 13:29	9.8	9.7	2023-01-25	True	True
2413	C	C/2023 C2	C/2023 C2 (ATLAS)	2023C2		14.6	2024-11-16 19:37	13.8	13.5	2024-08-31	True	True
1805	C	C/2019 L3	C/2019 L3 (ATLAS)	2019L3		14.7	2022-01-09 20:33	9.4	9.4	2022-01-07	True	True
2194	C	C/2020 V2	C/2020 V2 (ZTF)	2020V2		14.7	2023-05-08 11:05	10.6	10.2	2023-09-01	True	True
2336	C	C/2022 L2	C/2022 L2 (ATLAS)	2022L2		14.8	2024-03-12 06:17	14.5	14.3	2024-04-05	True	True
387	P	32P	32P/Comas Sola	0032		14.8	2024-04-20 14:30	14.6	14.4	2024-02-15	True	True
662	N	P/2011 NO1	P/2011 NO1	P2011NO1		15.0	2024-05-05 05:58	14.9	14.9	2024-05-05	True	True
2241	C	C/2019 U5	C/2019 U5 (PANSTARRS)	2019U5		15.1	2023-03-29 16:34	12.6	12.6	2023-03-25	True	True
92	P	130P	130P/McNaught-Hughes	0130		15.1	2024-04-14 21:17	15.2	15.1	2024-05-31	True	True
26	P	62P	62P/Tsuchinshan	0062		15.4	2023-12-25 02:51	8.6	8.6	2023-12-29	True	True
2467	C	C/2023 R2	C/2023 R2 (PANSTARRS)	2023R2		15.5	2024-08-12 03:30	11.9	11.9	2024-08-12	True	True
2	C	C/2014 UN271	C/2014 UN271 (Bernardinelli-Bernstein)	2014UNR1		15.5	2031-01-17 20:58	12.9	12.7	2031-04-04	True	True
1822	C	C/2019 T4	C/2019 T4 (ATLAS)	2019T4		15.9	2022-06-08 17:03	11.7	11.4	2022-04-11	True	True
1916	C	C/2020 K1	C/2020 K1 (PANSTARRS)	2020K1		15.9	2023-05-09 01:02	12.8	12.6	2023-06-05	True	True
2376	C	C/2022 QE78	C/2022 QE78 (ATLAS)	2022QE78		15.9	2025-09-10 06:32	13.8	13.3	2026-01-13	True	True
316	P	37P	37P/Forbes	0037		15.9	2024-10-11 06:11	13.8	13.7	2024-09-27	True	True
2497	P	473P	473P/NEAT	0473		16.0	2024-02-26 05:46	12.5	12.5	2024-02-23	True	True
272	P	50P	50P/Arend	0050		16.0	2024-05-12 18:42	16.0	16.0	2024-05-18	True	True
